Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
24.1328125000,6,4270.0000000000,4281.1538085938,4307.3076171875,4311.7949218750,4258.3334960938,4288.8461914063,4172.9487304688,4291.1538085938,4285.0000000000,2965.6411132813,4299.2309570313,4275.5126953125,4217.5639648438,3542.0512695313,,,
24.1406250000,6,4268.0771484375,4279.4873046875,4300.0000000000,4310.8974609375,4257.1796875000,4287.5639648438,4171.7949218750,4288.9741210938,4282.6923828125,2971.5385742188,4297.1796875000,4273.8461914063,4216.4101562500,3542.1794433594,,,
24.1484375000,6,4267.1796875000,4280.3847656250,4297.8203125000,4310.5126953125,4256.7949218750,4286.0258789063,4171.4101562500,4285.0000000000,4281.0258789063,2975.8974609375,4296.4101562500,4273.4614257813,4213.8461914063,3541.2819824219,,,
24.1562500000,6,4270.1284179688,4282.4360351563,4301.5385742188,4310.5126953125,4259.7436523438,4287.6923828125,4170.8974609375,4282.5639648438,4281.4101562500,2984.4870605469,4298.4614257813,4276.4101562500,4216.9228515625,3541.5385742188,,,
24.1640625000,6,4270.1284179688,4280.6411132813,4300.7690429688,4307.5639648438,4261.7949218750,4288.3334960938,4173.4614257813,4281.1538085938,4281.5385742188,2989.1025390625,4295.1284179688,4276.1538085938,4217.1796875000,3539.7436523438,,,
24.1718750000,6,4269.3588867188,4279.2309570313,4300.3847656250,4307.6923828125,4259.2309570313,4286.2822265625,4172.8203125000,4284.2309570313,4282.9487304688,2993.2050781250,4293.8461914063,4276.0258789063,4214.1025390625,3540.2563476563,,,
24.1796875000,6,4269.4873046875,4280.3847656250,4303.2050781250,4307.3076171875,4259.3588867188,4286.4101562500,4172.1796875000,4286.1538085938,4283.9741210938,3001.9230957031,4295.0000000000,4272.9487304688,4214.1025390625,3540.6411132813,,,
24.1875000000,6,4268.8461914063,4280.7690429688,4301.1538085938,4307.0512695313,4259.2309570313,4286.4101562500,4169.7436523438,4282.1796875000,4277.5639648438,3006.9230957031,4295.0000000000,4272.0512695313,4214.4873046875,3540.1281738281,,,
24.1953125000,6,4266.0258789063,4280.2563476563,4299.4873046875,4307.3076171875,4258.0771484375,4284.6152343750,4171.1538085938,4282.5639648438,4275.8974609375,3011.0256347656,4292.0512695313,4271.2822265625,4213.4614257813,3537.6923828125,,,
24.2031250000,6,4267.8203125000,4279.7436523438,4300.5126953125,4305.1284179688,4259.8715820313,4282.5639648438,4172.3076171875,4285.0000000000,4281.5385742188,3019.1025390625,4293.0771484375,4272.5639648438,4216.4101562500,3539.1025390625,,,
24.2109375000,6,4268.5898437500,4278.2050781250,4299.3588867188,4303.5898437500,4261.0258789063,4282.6923828125,4172.8203125000,4283.2050781250,4280.8974609375,3023.9743652344,4295.2563476563,4272.8203125000,4218.3334960938,3538.3332519531,,,
24.2187500000,6,4266.2822265625,4278.9741210938,4298.3334960938,4306.2822265625,4258.4614257813,4283.2050781250,4172.5639648438,4281.5385742188,4276.1538085938,3029.7436523438,4296.5385742188,4271.4101562500,4217.8203125000,3536.0256347656,,,
24.2265625000,6,4263.3334960938,4276.5385742188,4297.4360351563,4305.6411132813,4258.4614257813,4283.0771484375,4175.3847656250,4283.9741210938,4278.7177734375,3038.5898437500,4295.7690429688,4269.7436523438,4216.1538085938,3535.1281738281,,,
24.2343750000,6,4265.3847656250,4273.0771484375,4297.8203125000,4301.4101562500,4259.1025390625,4282.0512695313,4176.4101562500,4285.0000000000,4278.4614257813,3039.8718261719,4292.4360351563,4269.7436523438,4216.2822265625,3536.7949218750,,,
24.2421875000,6,4267.3076171875,4274.1025390625,4298.4614257813,4303.3334960938,4257.1796875000,4282.1796875000,4174.8715820313,4282.9487304688,4275.5126953125,3045.1281738281,4290.7690429688,4269.8715820313,4216.6665039063,3538.0769042969,,,
24.2500000000,6,4266.2822265625,4276.6665039063,4298.3334960938,4300.6411132813,4256.7949218750,4282.6923828125,4174.6152343750,4280.5126953125,4278.5898437500,3056.0256347656,4292.8203125000,4270.1284179688,4217.3076171875,3536.7949218750,,,
24.2578125000,6,4265.1284179688,4276.0258789063,4296.7949218750,4297.6923828125,4260.5126953125,4282.3076171875,4174.2309570313,4282.0512695313,4278.9741210938,3055.6411132813,4292.8203125000,4270.3847656250,4216.2822265625,3535.5129394531,,,
24.2656250000,6,4267.0512695313,4274.2309570313,4295.8974609375,4298.8461914063,4261.6665039063,4281.9228515625,4174.8715820313,4282.0512695313,4274.6152343750,3060.5129394531,4288.3334960938,4265.8974609375,4214.8715820313,3534.3588867188,,,
24.2734375000,6,4264.4873046875,4270.3847656250,4294.3588867188,4298.8461914063,4260.1284179688,4279.6152343750,4174.8715820313,4278.8461914063,4275.7690429688,3072.6923828125,4288.5898437500,4263.8461914063,4214.8715820313,3533.7180175781,,,
24.2812500000,6,4260.7690429688,4269.2309570313,4295.3847656250,4295.5126953125,4261.2822265625,4278.9741210938,4173.9741210938,4278.5898437500,4279.7436523438,3071.7949218750,4286.4101562500,4265.7690429688,4215.8974609375,3533.9743652344,,,
24.2890625000,6,4261.4101562500,4274.8715820313,4297.1796875000,4297.3076171875,4261.0258789063,4282.5639648438,4174.4873046875,4279.8715820313,4277.1796875000,3075.6411132813,4284.6152343750,4267.3076171875,4218.4614257813,3535.1281738281,,,
24.2968750000,6,4262.9487304688,4274.8715820313,4294.7436523438,4296.5385742188,4261.5385742188,4282.1796875000,4176.4101562500,4278.5898437500,4273.2050781250,3088.0769042969,4285.0000000000,4263.7177734375,4216.7949218750,3535.6411132813,,,
24.3046875000,6,4263.5898437500,4267.5639648438,4292.5639648438,4295.1284179688,4262.6923828125,4278.2050781250,4174.4873046875,4277.5639648438,4275.2563476563,3089.3588867188,4287.8203125000,4262.4360351563,4214.4873046875,3534.8718261719,,,
24.3125000000,6,4263.0771484375,4267.1796875000,4293.0771484375,4294.6152343750,4262.0512695313,4279.1025390625,4174.6152343750,4279.4873046875,4277.5639648438,3091.1538085938,4283.2050781250,4262.3076171875,4212.9487304688,3532.1794433594,,,
24.3203125000,6,4262.9487304688,4270.0000000000,4295.5126953125,4292.3076171875,4259.8715820313,4279.1025390625,4175.0000000000,4279.7436523438,4274.7436523438,3102.6923828125,4282.4360351563,4266.0258789063,4212.9487304688,3532.8205566406,,,
24.3281250000,6,4262.3076171875,4268.8461914063,4293.9741210938,4290.8974609375,4261.1538085938,4277.5639648438,4176.5385742188,4279.4873046875,4273.7177734375,3106.2819824219,4284.2309570313,4265.7690429688,4214.6152343750,3532.4357910156,,,
24.3359375000,6,4263.3334960938,4265.6411132813,4288.8461914063,4292.8203125000,4260.1284179688,4278.5898437500,4177.3076171875,4280.1284179688,4275.6411132813,3108.2050781250,4283.7177734375,4264.3588867188,4216.9228515625,3533.0769042969,,,
24.3437500000,6,4262.8203125000,4267.1796875000,4288.2050781250,4291.2822265625,4259.1025390625,4277.5639648438,4178.2050781250,4279.3588867188,4275.0000000000,3120.2563476563,4280.6411132813,4263.4614257813,4216.2822265625,3533.3332519531,,,
24.3515625000,6,4263.9741210938,4268.3334960938,4294.1025390625,4289.7436523438,4260.1284179688,4274.8715820313,4176.9228515625,4276.5385742188,4273.2050781250,3125.6411132813,4281.7949218750,4265.7690429688,4217.8203125000,3532.8205566406,,,
24.3593750000,6,4263.0771484375,4267.8203125000,4294.8715820313,4291.1538085938,4261.7949218750,4276.9228515625,4178.8461914063,4277.8203125000,4275.5126953125,3125.0000000000,4284.8715820313,4264.6152343750,4218.7177734375,3531.6667480469,,,
24.3671875000,6,4259.6152343750,4266.2822265625,4291.0258789063,4291.2822265625,4261.5385742188,4275.2563476563,4178.0771484375,4280.6411132813,4275.2563476563,3135.0000000000,4284.3588867188,4263.9741210938,4216.1538085938,3532.5642089844,,,
24.3750000000,6,4258.5898437500,4266.5385742188,4290.1284179688,4292.1796875000,4261.7949218750,4273.2050781250,4175.2563476563,4277.8203125000,4273.2050781250,3142.8205566406,4280.5126953125,4264.8715820313,4213.2050781250,3530.3845214844,,,
24.3828125000,6,4261.1538085938,4267.3076171875,4290.8974609375,4290.6411132813,4262.8203125000,4275.5126953125,4175.2563476563,4277.5639648438,4274.6152343750,3141.4101562500,4279.7436523438,4264.6152343750,4213.3334960938,3528.7180175781,,,
24.3906250000,6,4258.0771484375,4266.5385742188,4291.5385742188,4289.4873046875,4262.1796875000,4275.2563476563,4177.9487304688,4277.3076171875,4274.7436523438,3148.4614257813,4282.4360351563,4261.9228515625,4214.2309570313,3529.6154785156,,,
24.3984375000,6,4257.3076171875,4265.8974609375,4290.1284179688,4289.6152343750,4261.1538085938,4271.0258789063,4179.2309570313,4276.0258789063,4273.4614257813,3158.5898437500,4281.9228515625,4259.1025390625,4215.1284179688,3530.3845214844,,,
24.4062500000,6,4261.2822265625,4265.6411132813,4290.7690429688,4291.9228515625,4260.8974609375,4271.5385742188,4177.6923828125,4273.4614257813,4274.2309570313,3156.6667480469,4280.7690429688,4260.6411132813,4213.7177734375,3528.8461914063,,,
24.4140625000,6,4261.4101562500,4266.4101562500,4290.7690429688,4290.1284179688,4262.9487304688,4275.2563476563,4176.7949218750,4273.3334960938,4275.0000000000,3160.5129394531,4280.3847656250,4261.4101562500,4212.4360351563,3530.8974609375,,,
24.4218750000,6,4259.1025390625,4265.8974609375,4285.3847656250,4290.3847656250,4261.5385742188,4275.2563476563,4177.0512695313,4273.7177734375,4273.2050781250,3172.0512695313,4281.9228515625,4261.9228515625,4213.7177734375,3530.8974609375,,,
24.4296875000,6,4258.8461914063,4265.2563476563,4282.6923828125,4288.2050781250,4258.7177734375,4272.8203125000,4180.2563476563,4272.5639648438,4273.0771484375,3173.2050781250,4280.0000000000,4258.0771484375,4213.3334960938,3528.2050781250,,,
24.4375000000,6,4260.6411132813,4266.6665039063,4284.7436523438,4287.1796875000,4257.6923828125,4270.6411132813,4178.9741210938,4271.2822265625,4273.0771484375,3175.3845214844,4279.1025390625,4259.7436523438,4215.1284179688,3528.3332519531,,,
24.4453125000,6,4257.5639648438,4264.8715820313,4285.1284179688,4286.2822265625,4259.8715820313,4272.3076171875,4177.6923828125,4273.5898437500,4273.0771484375,3186.5385742188,4277.8203125000,4262.4360351563,4217.6923828125,3527.9487304688,,,
24.4531250000,6,4253.8461914063,4262.9487304688,4281.5385742188,4285.3847656250,4259.8715820313,4273.4614257813,4178.4614257813,4275.6411132813,4273.8461914063,3190.0000000000,4279.4873046875,4262.5639648438,4215.8974609375,3526.7949218750,,,
24.4609375000,6,4253.3334960938,4265.3847656250,4281.5385742188,4283.3334960938,4259.8715820313,4274.3588867188,4181.2822265625,4275.1284179688,4272.1796875000,3191.9230957031,4279.6152343750,4259.3588867188,4211.9228515625,3526.7949218750,,,
24.4687500000,6,4256.6665039063,4266.4101562500,4284.2309570313,4283.5898437500,4260.6411132813,4273.3334960938,4179.4873046875,4275.2563476563,4269.8715820313,3200.1281738281,4278.3334960938,4260.1284179688,4213.9741210938,3527.9487304688,,,
24.4765625000,6,4255.2563476563,4264.6152343750,4284.7436523438,4283.0771484375,4261.6665039063,4271.5385742188,4178.4614257813,4272.6923828125,4271.5385742188,3203.9743652344,4274.8715820313,4258.0771484375,4213.9741210938,3526.1538085938,,,
24.4843750000,6,4253.0771484375,4264.2309570313,4283.3334960938,4282.1796875000,4260.7690429688,4271.0258789063,4178.5898437500,4269.4873046875,4272.4360351563,3208.9743652344,4277.5639648438,4257.3076171875,4212.4360351563,3527.5642089844,,,
24.4921875000,6,4252.5639648438,4264.3588867188,4284.2309570313,4282.5639648438,4262.1796875000,4272.0512695313,4180.8974609375,4271.9228515625,4271.2822265625,3218.8461914063,4279.6152343750,4260.2563476563,4212.9487304688,3527.5642089844,,,
24.5000000000,6,4252.6923828125,4263.2050781250,4286.0258789063,4280.6411132813,4262.8203125000,4271.1538085938,4179.3588867188,4274.4873046875,4271.1538085938,3218.4614257813,4276.1538085938,4260.2563476563,4213.7177734375,3525.2563476563,,,
24.5078125000,6,4253.2050781250,4263.7177734375,4282.4360351563,4280.7690429688,4262.4360351563,4270.1284179688,4177.4360351563,4270.8974609375,4272.0512695313,3218.3332519531,4272.3076171875,4255.0000000000,4212.6923828125,3523.7180175781,,,
24.5156250000,6,4255.0000000000,4264.6152343750,4279.6152343750,4280.6411132813,4262.3076171875,4270.5126953125,4181.9228515625,4270.0000000000,4271.4101562500,3231.5385742188,4271.4101562500,4254.7436523438,4213.8461914063,3524.6154785156,,,
24.5234375000,6,4255.6411132813,4263.3334960938,4280.2563476563,4278.4614257813,4262.9487304688,4270.8974609375,4183.9741210938,4273.4614257813,4271.2822265625,3237.1794433594,4270.7690429688,4258.5898437500,4215.6411132813,3525.1281738281,,,
24.5312500000,6,4255.5126953125,4264.2309570313,4281.6665039063,4277.0512695313,4263.4614257813,4270.5126953125,4177.9487304688,4272.4360351563,4271.5385742188,3233.0769042969,4271.0258789063,4258.0771484375,4215.1284179688,3526.1538085938,,,
24.5390625000,6,4252.6923828125,4264.8715820313,4281.6665039063,4279.6152343750,4262.9487304688,4269.8715820313,4176.6665039063,4266.1538085938,4270.0000000000,3241.0256347656,4275.6411132813,4255.6411132813,4213.7177734375,3526.0256347656,,,
24.5468750000,6,4252.5639648438,4263.8461914063,4280.5126953125,4277.8203125000,4261.7949218750,4268.9741210938,4183.3334960938,4267.0512695313,4268.4614257813,3252.1794433594,4275.5126953125,4254.3588867188,4212.6923828125,3526.9230957031,,,
24.5546875000,6,4252.6923828125,4264.1025390625,4278.4614257813,4275.3847656250,4261.5385742188,4270.0000000000,4184.3588867188,4271.6665039063,4268.0771484375,3251.5385742188,4272.8203125000,4253.9741210938,4214.3588867188,3527.0512695313,,,
24.5625000000,6,4251.9228515625,4264.8715820313,4278.3334960938,4275.8974609375,4263.5898437500,4271.9228515625,4183.8461914063,4268.9741210938,4269.6152343750,3252.4357910156,4268.9741210938,4253.2050781250,4216.5385742188,3524.6154785156,,,
24.5703125000,6,4252.8203125000,4263.3334960938,4280.1284179688,4278.0771484375,4263.2050781250,4269.3588867188,4182.0512695313,4269.1025390625,4269.6152343750,3263.8461914063,4267.8203125000,4254.2309570313,4216.2822265625,3525.3845214844,,,
24.5781250000,6,4252.8203125000,4263.3334960938,4281.7949218750,4274.8715820313,4263.3334960938,4266.6665039063,4182.5639648438,4270.0000000000,4266.9228515625,3268.5898437500,4265.8974609375,4250.7690429688,4216.0258789063,3526.0256347656,,,
24.5859375000,6,4252.5639648438,4264.8715820313,4281.1538085938,4273.8461914063,4262.4360351563,4267.3076171875,4183.2050781250,4263.7177734375,4265.6411132813,3265.7692871094,4266.4101562500,4250.3847656250,4216.4101562500,3523.9743652344,,,
24.5937500000,6,4253.0771484375,4260.8974609375,4278.4614257813,4273.5898437500,4261.1538085938,4268.4614257813,4181.6665039063,4263.0771484375,4268.5898437500,3271.4101562500,4266.0258789063,4252.8203125000,4213.5898437500,3521.5385742188,,,
24.6015625000,6,4256.2822265625,4258.4614257813,4279.2309570313,4274.1025390625,4261.1538085938,4268.2050781250,4177.5639648438,4267.8203125000,4270.3847656250,3282.6923828125,4268.2050781250,4252.6923828125,4211.9228515625,3523.4614257813,,,
24.6093750000,6,4256.5385742188,4262.5639648438,4279.6152343750,4273.4614257813,4263.9741210938,4269.4873046875,4179.8715820313,4267.9487304688,4270.3847656250,3283.8461914063,4270.1284179688,4250.5126953125,4212.5639648438,3524.3588867188,,,
24.6171875000,6,4255.3847656250,4266.1538085938,4277.3076171875,4273.3334960938,4263.8461914063,4268.4614257813,4182.0512695313,4267.9487304688,4269.1025390625,3282.4357910156,4270.1284179688,4255.2563476563,4213.2050781250,3524.1025390625,,,
24.6250000000,6,4250.6411132813,4261.6665039063,4277.9487304688,4273.2050781250,4264.1025390625,4265.0000000000,4182.6923828125,4268.8461914063,4267.3076171875,3291.5385742188,4267.3076171875,4254.1025390625,4211.2822265625,3521.7949218750,,,
24.6328125000,6,4249.8715820313,4258.5898437500,4280.1284179688,4273.5898437500,4264.8715820313,4261.7949218750,4181.5385742188,4265.0000000000,4266.2822265625,3300.8974609375,4268.4614257813,4250.6411132813,4212.5639648438,3522.8205566406,,,
24.6406250000,6,4252.0512695313,4259.3588867188,4278.2050781250,4272.6923828125,4263.8461914063,4263.5898437500,4182.1796875000,4266.1538085938,4267.1796875000,3299.8718261719,4267.3076171875,4251.4101562500,4213.9741210938,3523.7180175781,,,
24.6484375000,6,4252.8203125000,4259.3588867188,4277.1796875000,4270.3847656250,4262.5639648438,4266.4101562500,4183.5898437500,4267.6923828125,4263.4614257813,3298.3332519531,4263.8461914063,4251.6665039063,4212.9487304688,3522.1794433594,,,
24.6562500000,6,4250.8974609375,4257.8203125000,4278.0771484375,4270.2563476563,4262.9487304688,4266.6665039063,4183.0771484375,4263.7177734375,4260.8974609375,3308.0769042969,4263.5898437500,4246.9228515625,4210.8974609375,3522.1794433594,,,
24.6640625000,6,4251.4101562500,4259.1025390625,4277.6923828125,4268.0771484375,4263.3334960938,4263.7177734375,4182.9487304688,4261.7949218750,4263.2050781250,3317.6923828125,4266.2822265625,4249.1025390625,4213.5898437500,3525.0000000000,,,
24.6718750000,6,4251.1538085938,4257.9487304688,4275.8974609375,4267.6923828125,4263.0771484375,4262.6923828125,4185.3847656250,4264.2309570313,4265.0000000000,3315.5129394531,4265.5126953125,4251.2822265625,4215.1284179688,3523.3332519531,,,
